38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2022,2022,2022
ACEH,85.64,76.86,79.85
SUMATERA UTARA,89.95,82.3,86.61
SUMATERA BARAT,91.71,83.41,87.52
RIAU,93.93,89.05,91.01
JAMBI,92.2,85.04,87.34
SUMATERA SELATAN,91.85,82.37,85.79
BENGKULU,93.23,83.15,86.43
LAMPUNG,91.22,86.38,87.9
KEP. BANGKA BELITUNG,91.67,87.35,89.81
KEP. RIAU,96.59,84.07,95.26
DKI JAKARTA,95.39,0,95.39
JAWA BARAT,90.23,78.33,87.57
JAWA TENGAH,90.18,86.13,88.24
DI YOGYAKARTA,90.58,84.09,89.03
JAWA TIMUR,88.65,80.72,85.11
BANTEN,93.84,82.77,91.11
BALI,93.78,85.09,91.21
NUSA TENGGARA BARAT,84.56,75.04,79.77
NUSA TENGGARA TIMUR,91.52,67.96,74.23
KALIMANTAN BARAT,92.12,80.56,84.74
KALIMANTAN TENGAH,92.91,79.05,84.76
KALIMANTAN SELATAN,90.35,84.17,87.21
KALIMANTAN TIMUR,94.41,89.99,93.06
KALIMANTAN UTARA,96.95,89.62,94.27
SULAWESI UTARA,87.16,79.06,83.54
SULAWESI TENGAH,90.62,78.27,82.23
SULAWESI SELATAN,92.02,85.11,88.33
SULAWESI TENGGARA,92.52,84.77,87.6
GORONTALO,89.85,82.05,85.52
SULAWESI BARAT,89.27,80.34,82.09
MALUKU,91.26,75.17,82.36
MALUKU UTARA,91.4,72.19,77.8
PAPUA BARAT,91.52,68.76,78.32
PAPUA BARAT DAYA,-,-,-
PAPUA,84.93,17.25,35.14
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,90.9,80.54,86.54
