No;Cakupan;Satuan;Kelompok Umur 7-12;Kelompok Umur 13-15;Kelompok Umur 16-18
1;ACEH;%;99,810;98,790;87,820
2;SUMATERA UTARA;%;99,690;97,190;79,260
3;SUMATERA BARAT;%;99,340;96,760;88,840
4;RIAU;%;99,640;96,680;82,600
5;JAMBI;%;99,430;94,800;80,990
6;SUMATERA SELATAN;%;99,480;97,010;76,540
7;BENGKULU;%;98,690;97,870;84,230
8;LAMPUNG;%;99,770;96,360;78,680
9;KEPULAUAN BANGKA BELITUNG;%;98,970;93,010;73,720
10;KEPULAUAN RIAU;%;99,260;99,040;85,860
11;DKI JAKARTA;%;99,440;97,950;72,100
12;JAWA BARAT;%;99,410;96,010;70,820
13;JAWA TENGAH;%;99,540;97,570;74,350
14;DI YOGYAKARTA;%;99,670;99,190;93,130
15;JAWA TIMUR;%;99,090;97,960;76,970
16;BANTEN;%;99,240;97,030;72,100
17;BALI;%;99,620;98,160;85,160
18;NUSA TENGGARA BARAT;%;99,320;98,420;83,160
19;NUSA TENGGARA TIMUR;%;98,950;97,400;81,330
20;KALIMANTAN BARAT;%;98,640;95,020;73,870
21;KALIMANTAN TENGAH;%;99,410;95,680;74,290
22;KALIMANTAN SELATAN;%;99,120;93,530;71,400
23;KALIMANTAN TIMUR;%;99,430;98,650;83,540
24;KALIMANTAN UTARA;%;99,290;97,230;78,610
25;SULAWESI UTARA;%;99,350;95,830;75,240
26;SULAWESI TENGAH;%;97,770;94,640;83,370
27;SULAWESI SELATAN;%;99,480;93,710;73,350
28;SULAWESI TENGGARA;%;98,650;94,350;79,170
29;GORONTALO;%;99,360;95,090;77,200
30;SULAWESI BARAT;%;98,070;91,230;73,790
31;MALUKU;%;99,520;98,770;80,420
32;MALUKU UTARA;%;99,200;98,040;83,700
33;PAPUA BARAT;%;98,910;97,690;83,750
34;PAPUA;%;95,250;96,210;86,940
35;PAPUA PEGUNUNGAN;%;;;
36;PAPUA SELATAN;%;;;
37;PAPUA TENGAH;%;;;
38;PAPUA BARAT DAYA;%;;;
39;INDONESIA;;99,330;96,880;75,960
